Latitude and Longitude,Class of Land,vh,vv
"(10.325089733570481, 105.26344455416304)",Rice,"[[0.029629826545715332, 0.022040558978915215], [0.04471760615706444, 0.03551260754466057]]","[[0.21520361304283142, 0.24245959520339966], [0.2385922223329544, 0.19330376386642456]]"
"(10.323727047081501, 105.24572962980707)",Rice,"[[0.005573012866079807, 0.0040089646354317665], [0.006432321388274431, 0.0047723338939249516]]","[[0.08586625009775162, 0.07884588092565536], [0.08158603310585022, 0.0647309347987175]]"
"(10.324635504740822, 105.2334654514068)",Rice,"[[0.011254798620939255, 0.01919700764119625], [0.015256992541253567, 0.014231288805603981], [0.016285579651594162, 0.016108591109514236]]","[[0.16429968178272247, 0.2665617763996124], [0.19974006712436676, 0.2161734402179718], [0.2477104812860489, 0.19473770260810852]]"
"(10.325089733570481, 105.23164853608824)",Rice,"[[0.007920584641397, 0.0074919285252690315], [0.006410573143512011, 0.00918402336537838], [0.0037071078550070524, 0.006618394050747156]]","[[0.22633178532123566, 0.10693329572677612], [0.15535391867160797, 0.19419178366661072], [0.2572070062160492, 0.26364731788635254]]"
"(10.32327281825184, 105.26571569831123)",Rice,"[[0.007267390843480825, 0.006804065313190222], [0.006173074711114168, 0.010682237334549427]]","[[0.15034952759742737, 0.15024083852767944], [0.14321771264076233, 0.1754259467124939]]"
"(10.31963898761456, 105.23074007842897)",Rice,"[[0.0059827654622495174, 0.0081989336758852], [0.01129963155835867, 0.013558690436184406]]","[[0.11889603734016418, 0.10382057726383209], [0.1357966959476471, 0.11923550069332123]]"
"(10.320547445273881, 105.22983162076967)",Rice,"[[0.00708629097789526, 0.003821742022410035], [0.0063959164544939995, 0.0038726788479834795]]","[[0.07443830370903015, 0.18383577466011047], [0.0881706029176712, 0.16065457463264465]]"
"(10.32281858942218, 105.28115947851899)",Rice,"[[0.02744118869304657, 0.02422211691737175], [0.03636537119746208, 0.03539351001381874]]","[[0.3105735778808594, 0.3074038028717041], [0.24589850008487701, 0.3052496612071991]]"
"(10.321910131762861, 105.23028584959931)",Rice,"[[0.005696383770555258, 0.0036209370009601116], [0.007809201255440712, 0.007872983813285828]]","[[0.26606863737106323, 0.19056366384029388], [0.13245722651481628, 0.10794875770807266]]"
"(10.324181275911162, 105.26071918118518)",Rice,"[[0.00436674989759922, 0.007003030274063349, 0.00777329970151186], [0.007098610978573561, 0.007825273089110851, 0.01034462358802557]]","[[0.1726730912923813, 0.3143647015094757, 0.4714033901691437], [0.21537362039089203, 0.30934664607048035, 0.39683598279953003]]"
"(10.325089733570481, 105.26026495235556)",Rice,"[[0.02877085842192173, 0.02303074114024639, 0.0212028156965971], [0.031497884541749954, 0.02074095793068409, 0.02505546808242798]]","[[0.40808549523353577, 0.2461715042591095, 0.11036010831594467], [0.5023207068443298, 0.4204998314380646, 0.15501654148101807]]"
"(10.325089733570481, 105.2448211721478)",Rice,"[[0.006978290621191263, 0.00883665680885315], [0.005506856366991997, 0.005149628967046738]]","[[0.029526470229029655, 0.05962101370096207], [0.028967633843421936, 0.1133013442158699]]"
"(10.324181275911162, 105.24300425682924)",Rice,"[[0.040274783968925476, 0.04246828705072403], [0.031829964369535446, 0.029835667461156845]]","[[0.19520030915737152, 0.2040611058473587], [0.22960732877254486, 0.3688383996486664]]"
"(10.32281858942218, 105.27570873256332)",Rice,"[[0.018700171262025833, 0.03691666200757027], [0.04736832529306412, 0.05910179764032364]]","[[0.5553775429725647, 0.7264420986175537], [0.6238976716995239, 0.8938254117965698]]"
"(10.323727047081501, 105.28252216500792)",Rice,"[[0.009098677895963192, 0.008094925433397293], [0.010793047957122326, 0.011169827543199062]]","[[0.23586872220039368, 0.2282196581363678], [0.12553991377353668, 0.19329586625099182]]"
"(10.31963898761456, 105.23937042619212)",Rice,"[[0.022063367068767548, 0.02357434295117855], [0.02691546641290188, 0.03065652772784233]]","[[0.1711319237947464, 0.17791025340557098], [0.2119418829679489, 0.18470586836338043]]"
"(10.32281858942218, 105.28161370734864)",Rice,"[[0.020906617864966393, 0.017909109592437744], [0.01601872593164444, 0.013472046703100204]]","[[0.22384722530841827, 0.13276028633117676], [0.28697970509529114, 0.21809549629688263]]"
"(10.324635504740822, 105.28161370734864)",Rice,"[[0.009502064436674118, 0.00633205147460103], [0.008608288131654263, 0.009620795957744122]]","[[0.27924466133117676, 0.18047843873500824], [0.26143500208854675, 0.2323579639196396]]"
"(10.32327281825184, 105.26117341001483)",Rice,"[[0.01378004439175129, 0.026902776211500168, 0.036382127553224564], [0.018803585320711136, 0.03374781459569931, 0.04363744705915451]]","[[0.3380013406276703, 0.47867417335510254, 0.5580001473426819], [0.48242005705833435, 0.6767868399620056, 0.7248477935791016]]"
"(10.32327281825184, 105.2788883343708)",Rice,"[[0.021909281611442566, 0.02258436754345894], [0.021529577672481537, 0.022434433922171593]]","[[0.45667189359664917, 0.32401812076568604], [0.48252803087234497, 0.45881032943725586]]"
"(10.324181275911162, 105.2516346045924)",Rice,"[[0.01568480394780636, 0.015348006971180439], [0.009478848427534103, 0.013965651392936707]]","[[0.18267425894737244, 0.1868244707584381], [0.15095014870166779, 0.1341913491487503]]"
"(10.323727047081501, 105.23982465502175)",Rice,"[[0.004975370597094297, 0.007182654924690723], [0.004062063060700893, 0.0034434630069881678], [0.0038884298410266638, 0.0021008409094065428]]","[[0.1772192269563675, 0.17737780511379242], [0.14397288858890533, 0.1342032253742218], [0.0946468934416771, 0.11049439013004303]]"
"(10.31963898761456, 105.23028584959931)",Rice,"[[0.011700020171701908, 0.005262067541480064], [0.008092602714896202, 0.0027730572037398815]]","[[0.07281730324029922, 0.0960276871919632], [0.10726035386323929, 0.10147009789943695]]"
"(10.32327281825184, 105.28706445330431)",Rice,"[[0.012625021860003471, 0.014221054501831532], [0.015821564942598343, 0.015200569294393063]]","[[0.15028654038906097, 0.20805887877941132], [0.16668760776519775, 0.2144608348608017]]"
"(10.324181275911162, 105.27752564788187)",Rice,"[[0.015623372048139572, 0.020105723291635513, 0.017001252621412277], [0.02535954676568508, 0.027858050540089607, 0.022469133138656616]]","[[0.37675827741622925, 0.23782777786254883, 0.20107069611549377], [0.40426909923553467, 0.2808637320995331, 0.359971821308136]]"
"(10.323727047081501, 105.26480724065195)",Rice,"[[0.01862444169819355, 0.013349241577088833], [0.01192404329776764, 0.0038785203360021114]]","[[0.3492749035358429, 0.40942707657814026], [0.4366494417190552, 0.40783125162124634]]"
"(10.321910131762861, 105.2266520189622)",Rice,"[[0.006932149641215801, 0.005517798010259867, 0.003101535141468048], [0.006219218485057354, 0.0034456299617886543, 0.0038824172224849463]]","[[0.20320378243923187, 0.32616689801216125, 0.2800333499908447], [0.2527472674846649, 0.25270509719848633, 0.2104092240333557]]"
"(10.324181275911162, 105.25072614693312)",Rice,"[[0.0024011956993490458, 0.0029365618247538805], [0.00334293395280838, 0.004719872958958149]]","[[0.2224418818950653, 0.22963258624076843], [0.133871391415596, 0.11845104396343231]]"
"(10.32327281825184, 105.27071221543727)",Rice,"[[0.02722133696079254, 0.021543078124523163], [0.03075111098587513, 0.022809382528066635]]","[[0.22713729739189148, 0.2459871917963028], [0.34907183051109314, 0.3235623836517334]]"
"(10.325089733570481, 105.25890226586662)",Rice,"[[0.018573150038719177, 0.010594877414405346], [0.027452459558844566, 0.022274479269981384]]","[[0.4267035126686096, 0.48442068696022034], [0.5504353642463684, 0.5742596387863159]]"
"(10.321455902933202, 105.25208883342202)",Rice,"[[0.012519278563559055, 0.0076353284530341625], [0.006799035239964724, 0.005165973212569952], [0.006295700091868639, 0.006861348636448383]]","[[0.05151234194636345, 0.10096791386604309], [0.12658576667308807, 0.13862545788288116], [0.18414142727851868, 0.2077978551387787]]"
"(10.324635504740822, 105.26162763884446)",Rice,"[[0.012946653179824352, 0.012439931742846966], [0.01042233593761921, 0.009593185968697071]]","[[0.23616735637187958, 0.3327859938144684], [0.3078056573867798, 0.2872328758239746]]"
"(10.325089733570481, 105.28751868213396)",Rice,"[[0.010074693709611893, 0.007594003342092037], [0.011357518844306469, 0.009897022508084774]]","[[0.45719507336616516, 0.43006089329719543], [0.34205058217048645, 0.27398112416267395]]"
"(10.32009321644422, 105.24845500278491)",Rice,"[[0.0071674310602247715, 0.011427255347371101], [0.012039528228342533, 0.0214898269623518]]","[[0.2938886880874634, 0.28060251474380493], [0.36603108048439026, 0.1791309118270874]]"
"(10.324181275911162, 105.23982465502175)",Rice,"[[0.006723145488649607, 0.00467268843203783], [0.007302646525204182, 0.005942076910287142], [0.01261781807988882, 0.01138888206332922]]","[[0.058910828083753586, 0.04721873626112938], [0.08011440932750702, 0.056725602596998215], [0.09096632152795792, 0.09399944543838501]]"
"(10.31963898761456, 105.23891619736247)",Rice,"[[0.003311297856271267, 0.0077240364626049995], [0.0045007942244410515, 0.008710159920156002]]","[[0.1621726155281067, 0.17508995532989502], [0.1660504788160324, 0.21049904823303223]]"
"(10.325089733570481, 105.26389878299267)",Rice,"[[0.03187796473503113, 0.03513364493846893], [0.03034858964383602, 0.040250249207019806]]","[[0.48508909344673157, 0.3972567617893219], [0.4931142330169678, 0.29154250025749207]]"
"(10.321455902933202, 105.26117341001483)",Rice,"[[0.008043067529797554, 0.010817698203027248, 0.0062004453502595425], [0.005307946354150772, 0.00781942717730999, 0.007641497999429703]]","[[0.08413545787334442, 0.08854647725820541, 0.1615087240934372], [0.09811004996299744, 0.1522587388753891, 0.20623959600925446]]"
"(10.319184758784901, 105.22710624779182)",Rice,"[[0.005444006063044071, 0.006448641885071993, 0.009419056586921215], [0.006371030118316412, 0.006592317949980497, 0.005745345260947943]]","[[0.22590313851833344, 0.37638309597969055, 0.3751775920391083], [0.2353942096233368, 0.32381048798561096, 0.27757275104522705]]"
"(10.321001674103542, 105.25254306225168)",Rice,"[[0.0034965858794748783, 0.004201553296297789], [0.0038137263618409634, 0.004395436495542526], [0.004840406123548746, 0.0037794625386595726]]","[[0.11276445537805557, 0.07602625340223312], [0.12900875508785248, 0.060563478618860245], [0.11334385722875595, 0.07118576020002365]]"
"(10.321455902933202, 105.23164853608824)",Rice,"[[0.0039831469766795635, 0.004027896095067263], [0.005386704113334417, 0.006125940475612879]]","[[0.12638753652572632, 0.11430005729198456], [0.05840868130326271, 0.09934692084789276]]"
"(10.324181275911162, 105.24936346044419)",Rice,"[[0.032315462827682495, 0.02636554092168808], [0.030829882249236107, 0.029919782653450966]]","[[0.08337146043777466, 0.18401046097278595], [0.08404454588890076, 0.1451793760061264]]"
"(10.324181275911162, 105.27979679203008)",Rice,"[[0.011642886325716972, 0.02254156954586506], [0.018022987991571426, 0.0387294627726078]]","[[0.3790997266769409, 0.4126615822315216], [0.2341798096895218, 0.2647014260292053]]"
"(10.324181275911162, 105.2598107235259)",Rice,"[[0.03589741885662079, 0.0609208382666111], [0.026799729093909264, 0.039737965911626816]]","[[0.2271251231431961, 0.2507377862930298], [0.15340399742126465, 0.19535158574581146]]"
"(10.324181275911162, 105.28706445330431)",Rice,"[[0.02216927520930767, 0.02820289321243763], [0.03585229441523552, 0.03631310909986496]]","[[0.11856818199157715, 0.16509826481342316], [0.11829428374767303, 0.18171413242816925]]"
"(10.32281858942218, 105.27934256320043)",Rice,"[[0.021207015961408615, 0.01945733092725277], [0.013504713773727417, 0.013055061921477318]]","[[0.3619506359100342, 0.5601739883422852], [0.35994961857795715, 0.6037764549255371]]"
"(10.320547445273881, 105.22710624779182)",Rice,"[[0.004236332606524229, 0.008475562557578087, 0.0091102235019207], [0.005357156507670879, 0.007395319174975157, 0.008746682666242123]]","[[0.013443125411868095, 0.016435017809271812, 0.03255798667669296], [0.01677563413977623, 0.016783446073532104, 0.024527162313461304]]"
"(10.32327281825184, 105.26162763884446)",Rice,"[[0.05100979655981064, 0.04873301088809967], [0.04083922505378723, 0.02376747503876686]]","[[0.41982337832450867, 0.5630813837051392], [0.45301881432533264, 0.478069543838501]]"
"(10.324635504740822, 105.25208883342202)",Rice,"[[0.012251454405486584, 0.019006507471203804], [0.00814349576830864, 0.01025422103703022]]","[[0.2702785134315491, 0.3663400411605835], [0.2925916016101837, 0.28484442830085754]]"
"(10.321001674103542, 105.25027191810346)",Rice,"[[0.011110527440905571, 0.007562217768281698], [0.016229864209890366, 0.016562826931476593], [0.01981859654188156, 0.03239135444164276]]","[[0.27455225586891174, 0.22909100353717804], [0.35531288385391235, 0.2692265808582306], [0.4449864327907562, 0.304475873708725]]"
"(10.318730529955241, 105.22756047662148)",Rice,"[[0.008961974643170834, 0.010171287693083286, 0.005852775182574987], [0.007775021251291037, 0.006926339119672775, 0.004708281718194485]]","[[0.01962108165025711, 0.01982022076845169, 0.03672023490071297], [0.008465465158224106, 0.0067961374297738075, 0.009556175209581852]]"
"(10.31963898761456, 105.23255699374752)",Rice,"[[0.011755612678825855, 0.00745272496715188], [0.009564830921590328, 0.00992000475525856]]","[[0.40539973974227905, 0.5065406560897827], [0.32290413975715637, 0.40036576986312866]]"
"(10.323727047081501, 105.23800773970319)",Rice,"[[0.00987327005714178, 0.004568508360534906], [0.014813682995736599, 0.007452287245541811], [0.014197641983628273, 0.010000149719417095]]","[[0.2324070781469345, 0.28152021765708923], [0.27983397245407104, 0.3096708655357361], [0.32304635643959045, 0.307606041431427]]"
"(10.323727047081501, 105.27797987671151)",Rice,"[[0.0058305757120251656, 0.012453579343855381, 0.015810998156666756], [0.013514474034309387, 0.013341013342142105, 0.014983581379055977]]","[[0.5616568326950073, 0.5577477216720581, 0.46235474944114685], [0.5688708424568176, 0.5871300101280212, 0.5962066650390625]]"
"(10.323727047081501, 105.26844107128906)",Rice,"[[0.008418547920882702, 0.01907256431877613], [0.010710416361689568, 0.019465278834104538]]","[[0.20525959134101868, 0.24635449051856995], [0.16743333637714386, 0.20550888776779175]]"
"(10.31963898761456, 105.2416415703403)",Rice,"[[0.006840266287326813, 0.005599026568233967], [0.005741402972489595, 0.005173747427761555]]","[[0.17710545659065247, 0.17707428336143494], [0.07930098474025726, 0.1264955699443817]]"
"(10.32327281825184, 105.25663112171844)",Rice,"[[0.06899426877498627, 0.06410621106624603], [0.034825846552848816, 0.0422326885163784]]","[[0.12199542671442032, 0.14050684869289398], [0.10951301455497742, 0.1688086837530136]]"
"(10.32327281825184, 105.27979679203008)",Rice,"[[0.03174854442477226, 0.0253283828496933], [0.0178422462195158, 0.013041420839726925]]","[[0.5060641765594482, 0.6733716130256653], [0.6033828258514404, 0.636500895023346]]"
"(10.323727047081501, 105.28888136862287)",Rice,"[[0.01808706857264042, 0.023586126044392586], [0.015278160572052002, 0.019843807443976402]]","[[0.2707279324531555, 0.36685532331466675], [0.36644548177719116, 0.3446893095970154]]"
"(10.324635504740822, 105.26344455416304)",Rice,"[[0.025113362818956375, 0.026992235332727432], [0.022682195529341698, 0.027551451697945595]]","[[0.1841995120048523, 0.19314303994178772], [0.2131960242986679, 0.20329584181308746]]"
"(10.324181275911162, 105.26208186767411)",Rice,"[[0.03484540432691574, 0.04329732805490494], [0.051865190267562866, 0.0530841238796711]]","[[0.15691687166690826, 0.24792128801345825], [0.1982332319021225, 0.2708936631679535]]"
"(10.319184758784901, 105.23573659555498)",Rice,"[[0.011926530860364437, 0.014778724871575832], [0.013008112087845802, 0.014348708093166351]]","[[0.26412224769592285, 0.2656864821910858], [0.2573915719985962, 0.2930585443973541]]"
"(10.320547445273881, 105.25435997757023)",Rice,"[[0.03247721865773201, 0.01624494232237339], [0.022997070103883743, 0.01968408189713955], [0.014972510747611523, 0.016137992963194847]]","[[0.2821064591407776, 0.32400792837142944], [0.31942087411880493, 0.4836413562297821], [0.4202685058116913, 0.5073251128196716]]"
"(10.31963898761456, 105.24255002799958)",Rice,"[[0.004351272713392973, 0.004828977398574352], [0.00498260697349906, 0.006038065068423748]]","[[0.1173349916934967, 0.18004579842090607], [0.19088900089263916, 0.18474321067333221]]"
"(10.320547445273881, 105.23619082438464)",Rice,"[[0.0077408794313669205, 0.00933761615306139], [0.008375007659196854, 0.004845635034143925]]","[[0.06933340430259705, 0.09704209864139557], [0.09580381214618683, 0.11360775679349899]]"
"(10.324181275911162, 105.23709928204391)",Rice,"[[0.003644076641649008, 0.005006336607038975], [0.004994203802198172, 0.005900616757571697], [0.006137311924248934, 0.006210890132933855]]","[[0.025838106870651245, 0.018829863518476486], [0.023009246215224266, 0.02855103462934494], [0.022596655413508415, 0.02623642422258854]]"
"(10.324635504740822, 105.26026495235556)",Rice,"[[0.031171346083283424, 0.02162529155611992, 0.019369618967175484], [0.038667477667331696, 0.031712986528873444, 0.02207767777144909]]","[[0.2963244915008545, 0.28231731057167053, 0.14956210553646088], [0.16308654844760895, 0.14084996283054352, 0.08321137726306915]]"
"(10.32009321644422, 105.23846196853285)",Rice,"[[0.01840580627322197, 0.012355569750070572], [0.02497757412493229, 0.016524607315659523]]","[[0.27694153785705566, 0.20447804033756256], [0.3512246310710907, 0.1386682391166687]]"
"(10.325089733570481, 105.25617689288879)",Rice,"[[0.005490024108439684, 0.007618641946464777], [0.0046928515657782555, 0.0056560891680419445]]","[[0.05993539094924927, 0.07745741307735443], [0.06227434054017067, 0.07642171531915665]]"
"(10.321455902933202, 105.23074007842897)",Rice,"[[0.00759579474106431, 0.010375937446951866], [0.0068407487124204636, 0.00888085924088955]]","[[0.03233569487929344, 0.03801500424742699], [0.03921663016080856, 0.04191157966852188]]"
"(10.325089733570481, 105.26071918118518)",Rice,"[[0.025332456454634666, 0.03044263646006584, 0.02251424826681614], [0.043273333460092545, 0.042343199253082275, 0.02625736966729164]]","[[0.3031741678714752, 0.4236193299293518, 0.6186152696609497], [0.4895203113555908, 0.6523219347000122, 0.6408489942550659]]"
"(10.323727047081501, 105.24073311268103)",Rice,"[[0.00600607180967927, 0.006102757528424263], [0.009269467554986477, 0.010306905955076218], [0.010053037665784359, 0.01104657631367445]]","[[0.1647505760192871, 0.2256525754928589], [0.16469499468803406, 0.23479650914669037], [0.1703660786151886, 0.14766930043697357]]"
"(10.323727047081501, 105.24345848565886)",Rice,"[[0.012845952995121479, 0.011088890954852104, 0.007060261443257332], [0.008475675247609615, 0.007753961253911257, 0.007125715725123882], [0.0066493721678853035, 0.005145929753780365, 0.006078736856579781]]","[[0.23362916707992554, 0.17331314086914062, 0.089724600315094], [0.2995651364326477, 0.2546440064907074, 0.14548088610172272], [0.28103095293045044, 0.2753145098686218, 0.20879673957824707]]"
"(10.325089733570481, 105.27979679203008)",Rice,"[[0.020153356716036797, 0.026486683636903763], [0.036027684807777405, 0.03715512529015541]]","[[0.3151966333389282, 0.34923234581947327], [0.3850182592868805, 0.33811458945274353]]"
"(10.323727047081501, 105.27752564788187)",Rice,"[[0.021610017865896225, 0.02701742947101593, 0.028613945469260216], [0.02460625395178795, 0.0255843885242939, 0.02176826074719429]]","[[0.15295058488845825, 0.2550949454307556, 0.44826430082321167], [0.46289119124412537, 0.4725475311279297, 0.5094678401947021]]"
"(10.318276301125582, 105.22619779013255)",Rice,"[[0.0083669638261199, 0.007936328649520874], [0.0069678183645009995, 0.007215181365609169]]","[[0.07881201803684235, 0.12323720753192902], [0.042203404009342194, 0.11247282475233078]]"
"(10.321455902933202, 105.22710624779182)",Rice,"[[0.01747887209057808, 0.017966771498322487, 0.018646009266376495], [0.011862149462103844, 0.010824530385434628, 0.013768444769084454]]","[[0.14431996643543243, 0.13493706285953522, 0.17296409606933594], [0.18969298899173737, 0.1497238576412201, 0.10667532682418823]]"
"(10.325089733570481, 105.2666241559705)",Rice,"[[0.006508060730993748, 0.01023112703114748], [0.005868632346391678, 0.007867226377129555]]","[[0.38478338718414307, 0.25678035616874695], [0.5397123098373413, 0.35702553391456604]]"
"(10.321001674103542, 105.26026495235556)",Rice,"[[0.00585893401876092, 0.007873712107539177], [0.003954088315367699, 0.008633951656520367]]","[[0.19381113350391388, 0.1232171282172203], [0.2633485198020935, 0.15504245460033417]]"
"(10.32009321644422, 105.24118734151068)",Rice,"[[0.007213993929326534, 0.00842701643705368], [0.006667397450655699, 0.007319766562432051]]","[[0.13516700267791748, 0.10325265675783157], [0.10985676944255829, 0.12090187519788742]]"
